Artist Name,Slug,Category,Image URL,Bio
Carol Connors,carol-connors,digital-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/carol_connors.jpg,"Carol Connors came out of the womb singing ( and swinging later when she co-wrote the theme from ROCKY). Her amazing diversity of talent is personified as a successful Singer, Songwriter, Storyteller, Charity Organizer and Cat Lover. She has been nominated for 10 major music awards: Emmy's, Grammy's, Golden Globes and two Oscars. Official Website: http://www.carolconnors.com/"
Boh Cooper,boh-cooper,digital-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/boh_cooper.png,"Boh Cooper has been a performing keyboardist with many artists including Rascal Flatts, Michael W. Smith, Kim Carnes, Steven Curtis Chapman, Michael English, Loverboy, and Peter Cetera. Boh Cooper – a singer-songwriter in his own right – lives just outside of Nashville, TN with his wife Jeri and son Luke. ""Kawai makes the best feeling and sounding digital piano there is – hands down – and I’m proud to be playing on one!” expresses Boh. Official Website: http://www.bohcooper.com/"
Rudy Currence,rudy-currence,digital-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/rudy_currence.jpg,"Refreshing but familiar, innovative yet classic, these are just a few words that come to mind when describing the voice, the music, the artist&#8230; Rudy Currence. Rudy's musical background spans almost every genre. He has extensive classical and jazz piano training as well as experience singing Classical, R&B, Gospel, Hip Hop, Soul, and Pop music. All of these styles mixed with his own creative expression make his live performance a rare jewel that you don't want to miss! Currence, a young singer-songwriter, musician, and producer began to sign his signature on the world at an early age with such writing credits as songs for multi-platinum recording artist Mya, a song featured in the blockbuster hit movie “The Bourne Identity” starring Matt Damon and a song titled “Let’s Play House” for national recording artist/ reality TV star, Ray J on his album, ""Raydiation.” He has been honored as one of the recipients of the ASCAP writer’s award and received this award consecutively for 3 years. Official Website: http://www.rudycurrenceonline.com/rudy-currence Facebook: https://www.facebook.com/RUDY-CURRENCE-170751313812/ Instagram: https://www.instagram.com/rudy_currence/ Twitter: https://twitter.com/rudy_currence YouTube: https://www.youtube.com/user/rudycurrencetv"
Kim Deardorff,kim-deardorff,digital-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/kim_deardorff.jpg,"Based in Nashville, TN, Kim Deardorff travels nationwide speaking and performing for audiences of all ages and sizes. He has and continues to work with a number of music and entertainment companies along with a host of prominent and award-winning artists, songwriters, and producers. From humble beginnings as a newborn orphan in Korea, Mr. Deardorff has grown personally and professionally to become an accomplished pianist and inspirational speaker, having brought his message of hope and healing to hundreds of thousands of people. As an ambassador for the Holt International organization, Kim has helped to raise over 5000 new sponsorships for orphaned children all over the world. Official Website: http://solopiano.com/artist/KimDeardorff/"
Matt Falker,matt-falker,acoustic-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/m.falker@300.jpg,"Matt Falker is on full-time faculty at MiraCosta College in Oceanside, CA, where he directs the Frequency vocal jazz program and teaches theory and piano classes. He has also joined the faculty at the Bob Cole Conservatory of Music at CSU Long Beach, teaching private jazz voice lessons. His previous faculty positions include the University of Southern California and Cal State Northridge. He is the founder and director of the Oceanside Jazz Festival, a non-competitive vocal jazz and big band festival hosted at MiraCosta College. A native of northern Michigan, Matt received his undergraduate degree from Western Michigan University in Kalamazoo in jazz piano and his graduate degree from the University of Southern California in jazz voice. An active performer and clinician internationally, his recent appearances as a guest clinician or performer include festivals in Washington, Oklahoma, Illinois, Alberta, Manitoba, Alabama, and California, including prominent events such as the Reno Jazz Festival and the 2015 ACDA National Convention. Matt’s solo CD ‘Playpen’ featuring his singing, playing, and writing and the True North CD ‘Voyage’ are both available for download on CD Baby and iTunes. Official Website: http://matfalmusic.com/ Facebook: https://www.facebook.com/matfalmusic YouTube: https://www.youtube.com/channel/UC_5ye5kh_ve194zrMGW4W6w"
Junko Ueno Garrett,junko-ueno-garrett,acoustic-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/junko_ueno_garrett.jpg,"Japan-born Junko Ueno Garrett has captivated audiences around the world with her colorful tone, poetry, expressiveness, dynamic technique, and wide range of repertoire. She began playing piano at the age of three, trained at the prestigious Toho Gakuen School of Music in Tokyo, and received a Doctor of Musical Arts Degree from Rice University’s Shepherd School of Music in the United States. Junko’s recent engagements in the U.S. include recitals in New York, Boston, San Francisco, Los Angeles, Washington D.C., Kansas City, Denver, Salt Lake City, Tucson, Houston, Fairbanks, and many other cities under the auspices of the Japan Foundation, Japanese Embassy, and Japanese Consulates General. Instruments: Kawai EX and Shigeru Kawai EX Concert Pianos Official Website: http://www.junkopiano.com/ Facebook: https://www.facebook.com/junkogarrettpiano/ JUNKO GARRETT'S NEW CD ""CANCION PARA PIANO"" IS NOW AVAILABLE AT CD BABY. Click Here."
Tim Glemser,tim-glemser,acoustic-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/tim_glemser3.jpg,"Tim Glemser is an award-winning pianist and composer from Phoenix, AZ. His music has received outstanding recognition for its ability to evoke nostaglia, pastoral simplicity, and cinematic passion. Tim’s Christmas album, O Nata Lux, won “Album of the Year” at SoloPianoChristmas.com, and his latest album, The Spirit of Montana, was nominated for “Album of the Year” at Whisperings Solo Piano Radio. His music can be heard on dozens of radios including Pandora, Whisperings, MusicChoice Soundscapes, Spotify, iTunes Radio, SoloPiano.com's The Stream, Calm Radio, and Enlightened Piano Radio. Tim records on the Shigeru Kawai SK7L piano at the world-renowned Piano Haven Studio in Sedona, AZ. “Tim Glemser has an innate talent to create music that stimulates the deepest emotions."" —Alejandro Clavijo, Reviews New Age “His musical voice is very much his own, telling stories and conveying deep emotions with strong melodies and an expressive playing style.""—Kathy Parsons, MainlyPiano.com Official Website: http://www.timglemser.com/ Facebook: https://www.facebook.com/timglemserpiano/ Twitter: https://twitter.com/timglemser Instagram: https://www.instagram.com/timglemser/"
Kirill Gliadkovsky,kirill-gliadkovsky,acoustic-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/kirill_gliadkovsky-1.jpg,"Kirill Gliadkovsky was born in Moscow and has studied music since the age of 5. He attended the Tchaikovsky Conservatory in Moscow – the most prestigious music institution in Russia – where his teachers included renowned musicians Lev Vlasenko, Mikhail Pletniev (piano) and Leonid Royzman (organ). Mr. Gliadkovsky earned both his Master's and Doctor of Musical Arts degrees at the University of Southern California with Professors Daniel Pollack (piano), Cherry Rhodes (organ), and William Schaefer (conducting). Mr. Gliadkovsky is an orchestra and choral conductor, as well. He composes for piano and organ and has premiered his works in Russia and in the USA. He also performs in a duo piano team with his wife Anna Gliadkovskaya and his sister, Ekaterina. Currently, Mr. Gliadkovsky combines his busy concert schedule with teaching at the University of Southern California and Santa Monica College, where he is on the piano faculty. In addition, he is the music director and organist at Westwood Hills Christian Church in Westwood, California. Instrument: Kawai EX Concert Piano"
Marty Grebb,marty-grebb,digital-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/marty_grebb.jpg,"A masterful keyboard player, sax player, guitarist and vocalist, Marty Grebb is perhaps best known for his work with Bonnie Raitt. But, the list of his musical accomplishments goes well beyond. Marty has also worked with such diverse artists as Leon Russell, Willie Nelson, B.B. King, Stevie Nicks, Roger McGuinn, Olivia Newton-John&#8230; and many, many more. Growing up in Chicago, Grebb began playing in bands at the age of twelve and by fifteen had started a band called The Exceptions with high school friend Peter Cetera (Chicago). Marty also had opportunities at that time to  record with  Paul Butterfield and Mike Bloomfield. In 1966, another  local band, The Buckinghams, lost their keyboard player and asked Marty to join. With Marty, The Buckinghams went on to record six top-ten hits and three top-twenty albums. Instrument: Kawai MP9500 Official Website: http://www.hammondb3.com/martygrebb_biography.html"
Danny Guerrero,danny-guerrero,acoustic-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/danny_guerrero.jpg,"Danny Guerrero has been a part of the Los Angeles music scene for many years. He is well-known for his musical diversity and is a master of the art of improvisation. He is a musical director, conductor, accompanist, solist, arranger, composer and motion picture musical consultant. A native of Denver, Colorado Danny began his careet at age 11 studying with the renowned conductor, Dr. Antonia Brico. He later received a Bachelor of Music Education and a Master of Arts Degree in Music Compositon from the University of Denver. After moving to Los Angeles, he studied film scoring with David Raskin and Earle Hagen, and composition with the legendary Spud Murphy. As a piano conductor in Las Vegas and other locations all over the US and Canda, Danny has worked with such artists as Charo, Mitzi Gaynor, Kathryn Grayson, Jim Nabors, Kay Starr and John Gary. His musical expertise and delightful personality are appreciated and applauded wherever he performs. Instrument: Kawai RX-5 Grand Piano Official Website: http://www.dannyguerrero.com/"
Brad Jacobsen,brad-jacobsen,acoustic-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/brad_jacobsen.jpg,"While Brad doesn’t recall asking to take piano lessons, at the age of 8 he found himself doing just that. While he had wonderful teachers, as an overly-imaginative child Brad found the rigidity of piano lessons frustrating. However, with his parents’ promise of “you’ll thank us later” he stuck with it into his mid-teens. Around the age of 15 Brad finally discovered music. He stumbled across artists like David Lanz, Kurt Bestor, and despite the quizzical looks from friends, Yanni. “These artists helped me realize the connection between emotions and music."" Brad released what he considers his first official album of solo piano music – “Road Home,"" which was recorded at Piano Haven studios in Kenmore, Washington. In August of 2011, Brad was added as a new artist to Whisperings, Solo Piano Radio. Brad’s personal songwriting approach is to strive to find a way to emotionally connect with his listener, rather than technically impress. Instrument: Kawai RX7 Grand Piano Official Website: http://www.bradjacobsenmusic.com/"
Mike Jones,mike-jones,acoustic-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/mike_jones.jpg,"Born in Buffalo, NY, Mike Jones has made a mission of carrying on the tradition of two handed solo piano jazz – but with a new twist. Mike’s music encompasses styles ranging from James P. Johnson and Fats Waller to Dave McKenna and Oscar Peterson. After attending Berklee College of Music in Boston, he remained in the East Coast establishing himself as a world-class pianist steeped in the pre-bop jazz tradition. In 2002, while living in Las Vegas, NV, Jones caught the ear of Penn Jilette who brought him onboard for the nightly Penn and Teller show at the Rio All-Suite Hotel and Casino. As music director, Jones dazzles visitors with classic jazz standards during the “warm-up” hour and at times playing alongside Penn Jillete, who plays the bass. In a career spanning four decades, Jones continues to wow audiences all over the world with his virtuoso skills and stylistic flair. Instrument: Kawai RX Grand Piano Official Website: http://www.jonesjazz.com/ Facebook: https://www.facebook.com/Mike-Jones-Jazz-Piano-147626198599273/ Twitter: https://twitter.com/Jonesjazz Instagram: https://www.instagram.com/jonesjazz/ YouTube: https://www.youtube.com/user/jonesjazz"
John-Paul Kaplan,john-paul-kaplan,acoustic-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/john-paul_kaplan-1.jpg,"Originally from Chicago, Illinois, John-Paul Kaplan is a one of a kind entertainer. Audiences, clients, and fans are always thrilled by the versatility, captivating arrangements and professionalism of this young pianist and composer. Kaplan, through the inspiration of his family, began studying the piano at the age of seven. He studied classical music with Doreen DeZur and jazz with Mark Streder. He was an outstanding pianist for his age, achieving top honors on the piano competition circuit. He has performed for such celebrities as Roger Williams, B.B. King, Ramsey Lewis, Harold Ramis, Vanessa Williams, Goran Visnic, and Tony Bennett, among many others. Kaplan has been entertaining audiences since 1996. He has performed at parties, hotels, churches, and other public and private events, traveling throughout the country performing in different cities. Instrument: Kawai Grand Piano Official Website: http://www.jppiano.com/ Facebook: https://www.facebook.com/pianomessenger Twitter: https://twitter.com/pianomessenger YouTube: https://www.youtube.com/user/keysoftime &nbsp; &nbsp;"
David Korevaar,david-korevaar,acoustic-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/david_korevaar-1.jpg,"David Korevaar's mastery of the piano is joined with a large and varied repertoire, and enhanced by his work with living composers and his own experience writing music.  He successfully balances an active performing career as a soloist and chamber musician with teaching at the University of Colorado at Boulder, where he is Assistant Professor of Piano. Instrument: Kawai EX Concert Piano Official Website: http://www.davidkorevaar.com/ Facebook: https://www.facebook.com/DavidKorevaarPianist YouTube: https://www.youtube.com/user/djkorevaar/"
Stephen Large,stephen-large,digital-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/stephen_large.jpg,"""I have been using Kawai as my stage piano of choice for around 10 years now, since I first got my hands on the classic mp9500&#8243;. The wooden key action on this instrument was streets ahead of any other makes at the time – and Kawai have been upping the game ever since. Now with the MP10 they have the only piano sound out there that seriously rivals the computer based sounds in the mega software libraries, but with far better reliability, and that immaculate keyboard response making for an unbeatable playing experience."" Instrument: Kawai MP10 Professional Stage Piano Official Website: https://stephenlarge.com/"
Joshua Levy,joshua-levy,digital-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/joshua_levy.jpg,"Joshua Levy is an award wining pianist, composer, and arranger hailing from Pasadena, CA. He attended the prestigious University of Southern California Thornton School of Music where his talents as a jazz pianist culminated in his 1996 victory at the John Coltrane Young Musicians and Artist Competition. Successful tours of Europe and Japan followed. In 1997 he was asked to join the popular Los Angeles based group Big Bad Voodoo Daddy. Since then, the band has performed over 2500 concerts including half-time shows at both the Super Bowl and Orange Bowl. In addition, their music has been featured in over sixty films and television shows. Josh also maintains a busy freelance schedule as a pianist, composer, arranger, orchestrator, and producer. He lives in Los Angeles with his wife and two children. Instrument: Kawai MP9500 Official Website: http://www.joshlevymusic.com/"
Isha Love,isha-love,digital-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/isha_love.jpg,"""Wow!! When I first heard her I was totally blown away. She is such a phenomenal player. You will be shocked at her gospel musicianship. Close your eyes when she's playing and you'll be amazed and shocked at what she gets out of the keyboard. ""
— Andrae Crouch Hailing from South Korea, Isha Love has been called ""brilliant,"" ""astonishing"" and ""remarkably original."" She has garnered a myriad of accolades on both sides of the Pacific for her soulful and eclectic sounds on the piano, B3 and synthesizer. Love began playing piano at the age of five and honed her craft at the world-renowned Berklee College of Music where she graduated with a Bachelor of Arts in Piano Performance. While at Berklee, Love was hired as the primary accompanist for the Voice Department and received numerous invitations to play with such well-established artists as Andrae Crouch, Frank McComb, Lisa McClendon, Kim Burrell and Barbara Morrison, among others. Today Love is pursued by many artists and producers who look to her masterful keyboard playing and musical sensibilities for their studio and stage projects. Love is currently writing, arranging and recording her original compositions scheduled to be released this year. Instrument: Kawai MP6 Professional Stage Piano Official Website: http://www.ishalove.com/"
Francisco Loyo,francisco-loyo,digital-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/francisco_loyo.jpg,"Grammy Award winning keyboardist, producer, arranger and composer Francisco Loyo studied music at the Conservatorio de Musica in Mexico City in the late 1970s, where he earned a Bachelor of Music degree in composition and piano. During and after that time he was an in-demand keyboard player in Top 40 bands in Mexico City and Acapulco. In 1982 he relocated to New York and played in various bands there until 1985, when he moved to Los Angeles to take a gig as a house musician at Disneyland. In 1993 Francisco was asked to join Luis Miguel’s touring band as the primary keyboardist and has been an arranger and also the musical director for the band since 1998. In addition he has written and produced songs on many of Luis Miguel’s most popular albums, including Mis Romances and the Grammy award winning Mexico En La Piel and Amarte es un Placer, which won three Latin Grammys including Album of the Year. Instrument: Kawai MP11 Professional Stage Piano Official Website: http://www.cduniverse.com/search/xx/music/artist/Francisco%20Loyo/a/Francisco%20Loyo.htm"
Bobby Lyle,bobby-lyle,acoustic-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/bobby_lyle.jpg,"Legendary pianist/organist Bobby Lyle was deemed a musical wonder when he released his innovative first album The Genie, which exploded onto the Billboard charts. Since debuting his definitive style, Lyle has kept a high standard for 40-plus years and has successfully maintained a flourishing, always-evolving career. His musical journey has taken him all over the world to various festivals and venues. He has served as musical director for such notable artists as Al Jarreau, Anita Baker, Bette Midler (with whom he scored an Emmy nomination for her HBO special Diva Las Vegas), and Phyliss Hyman. His 1990 project The Journey made it to #1 on the Billboard jazz chart, and he is still the only artist who’s record (Straight and Smooth on the Three Keys label, 2005) appeared on both the Billboard Magazine smooth jazz, and the Billboard traditional jazz charts at the same time. Bobby is still traveling with his own band, but is also involved with teaching and mentoring jazz piano students both privately and in seminars and clinics. Official Website: http://www.bobbylylekeyboards.com/"
Yuko Maruyama,yuko-maruyama,acoustic-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/yuko_maruyama.jpg,"From Toyko, Japan, Yuko Maruyama graduated from the University of Southern California with a master's degree in Jazz Studies. She was named the ""Outstanding Graduate"" and her original composition ""Twilight"" was featured in Jazz at USC, the first CD produced by the department. As a classical pianist, Yuko was a first prize winner in the Piano Teacher's Association of America's Duo Piano Competition in San Diego. Yuko works professionally as a performing and recording artist in the musical styles of classical, jazz, fusion, salsa, pop, R & B and Latin Jazz. She has headlined at jazz clubs such as The Jazz Bakery, The Baked Potato and Lunaria. And, she has been the featured performer at numerous prestigious engagements. Yuko is also active in scoring original soundtracks for multimedia and television productions including the documentary, Teaching Us to See. Yuko’s recently completed CD entitled Piano Bento contains original compositions, arrangements, and a few jazz standard favorites. The album features several Kawai products including a Shigeru Kawai grand piano, a Kawai MP7 Stage Piano, and a Kawai Toy Piano. Instrument: Kawai and Shigeru Kawai Grand Pianos Official Website: http://www.yukomaruyama.com/"
